Symbol,Name,Sector,Industry
TFSC,1347 Capital Corp.,Finance,Business Services
TFSCR,1347 Capital Corp.,Finance,Business Services
TFSCU,1347 Capital Corp.,n/a,n/a
TFSCW,1347 Capital Corp.,Finance,Business Services
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores
FCTY,"1st Century Bancshares, Inc",Finance,Major Banks
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions
SRCE,1st Source Corporation,Finance,Major Banks
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software
DGLD,3X Inverse Gold ETN Velocityshares,Finance,Investment Bankers/Brokers/Service
JOBS,"51job, Inc.",Technology,Diversified Commercial Services
SIXD,"6D Global Technologies, Inc.",Consumer Services,Professional Services
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components
ABY,Abengoa Yield plc,Public Utilities,Electric Utilities: Central
ABGB,"Abengoa, S.A.",Consumer Services,Military/Government/Technical
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,Finance,Savings Institutions
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACNB,ACNB Corporation,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACFN,"Acorn Energy, Inc.",Consumer Services,Military/Government/Technical
ACTS,"Actions Semiconductor Co., Ltd.",Technology,Semiconductors
ACPW,"Active Power, Inc.",Public Utilities,Electric Utilities: Central
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,Technology,EDP Services
ACUR,"Acura Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACXM,Acxiom Corporation,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services
ADEP,"Adept Technology, Inc.",Technology,Industrial Machinery/Components
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
ADVS,"Advent Software, Inc.",Technology,EDP Services
MULT,Advisorshares Trust-Advisorshares Sunrise Global Multi-Strateg,n/a,n/a
YPRO,AdvisorShares YieldPro ETF,n/a,n/a
AEGR,"Aegerion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AEGN,Aegion Corp,Basic Industries,Water Supply
AEHR,Aehr Test Systems,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals
AEPI,AEP Industries Inc.,Capital Goods,Specialty Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals
AFFX,"Affymetrix, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AIRM,Air Methods Corporation,Transportation,Transportation Services
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services
AMCN,AirMedia Group Inc,Technology,Advertising
AIXG,Aixtron SE,Technology,Industrial Machinery/Components
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment
AMRI,"Albany Molecular Research, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABDC,Alcentra Capital Corp.,n/a,n/a
ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALXA,"Alexza Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",Finance,Savings Institutions
AFOP,"Alliance Fiber Optic Products, Inc.",Technology,Semiconductors
AIQ,"Alliance HealthCare Services, Inc.",Health Care,Medical Specialities
AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments
ALTR,Altera Corporation,Technology,Semiconductors
IDGX,"AltheaDx, Inc.",n/a,n/a
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation PLC,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",Technology,Semiconductors
EPAX,"Ambassadors Group, Inc.",Consumer Services,Other Consumer Services
AMCX,AMC Networks Inc.,Consumer Services,Television Services
DOX,Amdocs Limited,Technology,EDP Services
AMDA,Amedica Corporation,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,Health Care,Medical/Nursing Services
UHAL,Amerco,Consumer Services,Rental/Leasing Companies
ASBI,Ameriana Bancorp,Finance,Savings Institutions
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services
AGNC,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts
AGNCB,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts
AGNCP,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts
MTGE,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts
MTGEP,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts
ACSF,"American Capital Senior Floating, Ltd.",n/a,n/a
ACAS,"American Capital, Ltd.",n/a,n/a
ANCI,American Caresource Holdings Inc,Health Care,Hospital/Nursing Management
AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components
AMIC,American Independence Corp.,Finance,Accident &Health Insurance
AMNB,"American National Bankshares, Inc.",Finance,Major Banks
ANAT,American National Insurance Company,Finance,Life Insurance
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",Capital Goods,Railroads
ARCP,"American Realty Capital Properties, Inc.",Consumer Services,Real Estate Investment Trusts
ARCPP,"American Realty Capital Properties, Inc.",Consumer Services,Real Estate Investment Trusts
AMRB,American River Bankshares,Finance,Major Banks
ASEI,"American Science and Engineering, Inc.",Health Care,Medical Electronics
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,Finance,Major Banks
