Symbol,Name,Sector,Industry,
AAPL,Apple Inc.,Technology,Computer Manufacturing,
TFSC,1347 Capital Corp.,Finance,Business Services,
TFSCR,1347 Capital Corp.,Finance,Business Services,
TFSCU,1347 Capital Corp.,n/a,n/a,
TFSCW,1347 Capital Corp.,Finance,Business Services,
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,
FCTY,"1st Century Bancshares, Inc",Finance,Major Banks,
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,
SRCE,1st Source Corporation,Finance,Major Banks,
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,
DGLD,3X Inverse Gold ETN Velocityshares,Finance,Investment Bankers/Brokers/Service,
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,
SIXD,"6D Global Technologies, Inc.",Consumer Services,Professional Services,
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment,
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding,
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals,
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components,
ABY,Abengoa Yield plc,Public Utilities,Electric Utilities: Central,
ABGB,"Abengoa, S.A.",Consumer Services,Military/Government/Technical,
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ANCX,Access National Corporation,Finance,Savings Institutions,
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals,
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,
ACNB,ACNB Corporation,Finance,Major Banks,
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ACFN,"Acorn Energy, Inc.",Consumer Services,Military/Government/Technical,
ACTS,"Actions Semiconductor Co., Ltd.",Technology,Semiconductors,
ACPW,"Active Power, Inc.",Public Utilities,Electric Utilities: Central,
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,
ACTA,Actua Corporation,Technology,EDP Services,
ACUR,"Acura Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
ACXM,Acxiom Corporation,Technology,EDP Services,
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,
ADEP,"Adept Technology, Inc.",Technology,Industrial Machinery/Components,
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,
ADXSW,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,
ADVS,"Advent Software, Inc.",Technology,EDP Services,
MULT,Advisorshares Trust-Advisorshares Sunrise Global Multi-Strateg,n/a,n/a,
YPRO,AdvisorShares YieldPro ETF,n/a,n/a,
